,lastUpdateId,E,T,bids,asks
0,722823590005,1630855043709,1630855043699,"['3923.29', '1.708']","['3923.30', '1.784']"
1,722823590005,1630855043709,1630855043699,"['3923.25', '0.037']","['3923.49', '1.541']"
2,722823590005,1630855043709,1630855043699,"['3923.01', '0.037']","['3923.61', '5.741']"
3,722823590005,1630855043709,1630855043699,"['3923.00', '7.363']","['3923.62', '10.234']"
4,722823590005,1630855043709,1630855043699,"['3922.98', '0.046']","['3923.63', '0.764']"
5,722823590005,1630855043709,1630855043699,"['3922.91', '2.039']","['3923.64', '9.494']"
6,722823590005,1630855043709,1630855043699,"['3922.87', '0.207']","['3923.66', '14.621']"
7,722823590005,1630855043709,1630855043699,"['3922.85', '5.000']","['3923.70', '6.484']"
8,722823590005,1630855043709,1630855043699,"['3922.83', '0.017']","['3923.72', '2.765']"
9,722823590005,1630855043709,1630855043699,"['3922.79', '0.100']","['3923.77', '0.051']"
10,722823590005,1630855043709,1630855043699,"['3922.78', '1.439']","['3923.79', '4.622']"
11,722823590005,1630855043709,1630855043699,"['3922.64', '0.800']","['3923.80', '19.819']"
12,722823590005,1630855043709,1630855043699,"['3922.58', '2.504']","['3923.82', '27.503']"
13,722823590005,1630855043709,1630855043699,"['3922.57', '4.200']","['3923.83', '10.608']"
14,722823590005,1630855043709,1630855043699,"['3922.50', '2.500']","['3923.85', '3.207']"
15,722823590005,1630855043709,1630855043699,"['3922.48', '0.765']","['3923.90', '1.234']"
16,722823590005,1630855043709,1630855043699,"['3922.46', '0.530']","['3924.00', '4.546']"
17,722823590005,1630855043709,1630855043699,"['3922.45', '5.860']","['3924.01', '6.559']"
18,722823590005,1630855043709,1630855043699,"['3922.44', '1.785']","['3924.02', '4.602']"
19,722823590005,1630855043709,1630855043699,"['3922.43', '2.600']","['3924.06', '4.137']"
20,722823590005,1630855043709,1630855043699,"['3922.39', '0.508']","['3924.07', '10.000']"
21,722823590005,1630855043709,1630855043699,"['3922.38', '4.200']","['3924.24', '0.986']"
22,722823590005,1630855043709,1630855043699,"['3922.37', '0.589']","['3924.33', '12.939']"
23,722823590005,1630855043709,1630855043699,"['3922.36', '1.276']","['3924.34', '2.500']"
24,722823590005,1630855043709,1630855043699,"['3922.35', '3.070']","['3924.35', '3.834']"
25,722823590005,1630855043709,1630855043699,"['3922.30', '1.000']","['3924.36', '4.853']"
26,722823590005,1630855043709,1630855043699,"['3922.29', '2.519']","['3924.39', '0.422']"
27,722823590005,1630855043709,1630855043699,"['3922.28', '7.850']","['3924.40', '3.220']"
28,722823590005,1630855043709,1630855043699,"['3922.27', '19.910']","['3924.41', '5.987']"
29,722823590005,1630855043709,1630855043699,"['3922.25', '13.599']","['3924.44', '1.659']"
30,722823590005,1630855043709,1630855043699,"['3922.23', '1.276']","['3924.45', '2.515']"
31,722823590005,1630855043709,1630855043699,"['3922.22', '0.041']","['3924.46', '15.313']"
32,722823590005,1630855043709,1630855043699,"['3922.13', '1.061']","['3924.47', '21.322']"
33,722823590005,1630855043709,1630855043699,"['3922.12', '1.299']","['3924.48', '3.395']"
34,722823590005,1630855043709,1630855043699,"['3922.09', '19.679']","['3924.49', '2.500']"
35,722823590005,1630855043709,1630855043699,"['3922.08', '0.981']","['3924.50', '62.040']"
36,722823590005,1630855043709,1630855043699,"['3922.06', '22.594']","['3924.52', '1.000']"
37,722823590005,1630855043709,1630855043699,"['3922.04', '2.442']","['3924.56', '0.924']"
38,722823590005,1630855043709,1630855043699,"['3922.03', '29.700']","['3924.60', '2.748']"
39,722823590005,1630855043709,1630855043699,"['3921.96', '0.800']","['3924.61', '3.823']"
40,722823590005,1630855043709,1630855043699,"['3921.95', '1.733']","['3924.62', '5.124']"
41,722823590005,1630855043709,1630855043699,"['3921.93', '1.276']","['3924.63', '6.863']"
42,722823590005,1630855043709,1630855043699,"['3921.92', '0.074']","['3924.65', '6.004']"
43,722823590005,1630855043709,1630855043699,"['3921.90', '0.070']","['3924.66', '10.190']"
44,722823590005,1630855043709,1630855043699,"['3921.88', '0.663']","['3924.67', '0.042']"
45,722823590005,1630855043709,1630855043699,"['3921.86', '13.383']","['3924.68', '0.006']"
46,722823590005,1630855043709,1630855043699,"['3921.85', '2.126']","['3924.71', '0.019']"
47,722823590005,1630855043709,1630855043699,"['3921.78', '21.762']","['3924.73', '5.122']"
48,722823590005,1630855043709,1630855043699,"['3921.77', '6.114']","['3924.74', '88.997']"
49,722823590005,1630855043709,1630855043699,"['3921.76', '0.004']","['3924.75', '12.744']"
50,722823590005,1630855043709,1630855043699,"['3921.75', '9.444']","['3924.76', '19.000']"
51,722823590005,1630855043709,1630855043699,"['3921.74', '44.578']","['3924.78', '16.100']"
52,722823590005,1630855043709,1630855043699,"['3921.73', '0.497']","['3924.79', '3.326']"
53,722823590005,1630855043709,1630855043699,"['3921.72', '0.256']","['3924.82', '12.005']"
54,722823590005,1630855043709,1630855043699,"['3921.71', '1.274']","['3924.84', '0.187']"
55,722823590005,1630855043709,1630855043699,"['3921.67', '2.560']","['3924.85', '15.976']"
56,722823590005,1630855043709,1630855043699,"['3921.62', '1.400']","['3924.86', '0.893']"
57,722823590005,1630855043709,1630855043699,"['3921.59', '2.000']","['3924.90', '0.330']"
58,722823590005,1630855043709,1630855043699,"['3921.56', '1.274']","['3924.93', '0.004']"
59,722823590005,1630855043709,1630855043699,"['3921.52', '13.409']","['3924.94', '0.038']"
60,722823590005,1630855043709,1630855043699,"['3921.50', '6.000']","['3924.95', '0.020']"
61,722823590005,1630855043709,1630855043699,"['3921.48', '12.175']","['3924.97', '15.976']"
62,722823590005,1630855043709,1630855043699,"['3921.47', '1.786']","['3924.98', '3.508']"
63,722823590005,1630855043709,1630855043699,"['3921.45', '1.000']","['3924.99', '0.024']"
64,722823590005,1630855043709,1630855043699,"['3921.44', '0.642']","['3925.00', '29.732']"
65,722823590005,1630855043709,1630855043699,"['3921.43', '0.062']","['3925.01', '10.000']"
66,722823590005,1630855043709,1630855043699,"['3921.39', '0.353']","['3925.02', '0.659']"
67,722823590005,1630855043709,1630855043699,"['3921.34', '0.100']","['3925.04', '14.206']"
68,722823590005,1630855043709,1630855043699,"['3921.29', '5.124']","['3925.05', '0.015']"
69,722823590005,1630855043709,1630855043699,"['3921.28', '2.558']","['3925.07', '12.742']"
70,722823590005,1630855043709,1630855043699,"['3921.23', '0.102']","['3925.09', '0.204']"
71,722823590005,1630855043709,1630855043699,"['3921.22', '2.556']","['3925.11', '22.833']"
72,722823590005,1630855043709,1630855043699,"['3921.21', '5.172']","['3925.12', '3.727']"
73,722823590005,1630855043709,1630855043699,"['3921.20', '0.088']","['3925.20', '3.821']"
74,722823590005,1630855043709,1630855043699,"['3921.19', '5.111']","['3925.22', '8.462']"
75,722823590005,1630855043709,1630855043699,"['3921.17', '6.580']","['3925.23', '0.469']"
76,722823590005,1630855043709,1630855043699,"['3921.15', '2.555']","['3925.26', '0.500']"
77,722823590005,1630855043709,1630855043699,"['3921.11', '0.765']","['3925.27', '12.000']"
78,722823590005,1630855043709,1630855043699,"['3921.10', '34.743']","['3925.30', '0.015']"
79,722823590005,1630855043709,1630855043699,"['3921.07', '28.596']","['3925.32', '4.006']"
80,722823590005,1630855043709,1630855043699,"['3921.01', '1.309']","['3925.33', '29.881']"
81,722823590005,1630855043709,1630855043699,"['3921.00', '10.111']","['3925.34', '2.076']"
82,722823590005,1630855043709,1630855043699,"['3920.99', '3.516']","['3925.35', '2.555']"
83,722823590005,1630855043709,1630855043699,"['3920.94', '12.000']","['3925.36', '11.000']"
84,722823590005,1630855043709,1630855043699,"['3920.89', '0.002']","['3925.39', '2.643']"
85,722823590005,1630855043709,1630855043699,"['3920.84', '0.312']","['3925.40', '0.013']"
86,722823590005,1630855043709,1630855043699,"['3920.83', '0.500']","['3925.41', '10.572']"
87,722823590005,1630855043709,1630855043699,"['3920.82', '0.044']","['3925.42', '5.977']"
88,722823590005,1630855043709,1630855043699,"['3920.81', '10.120']","['3925.43', '1.104']"
89,722823590005,1630855043709,1630855043699,"['3920.80', '2.210']","['3925.44', '0.003']"
90,722823590005,1630855043709,1630855043699,"['3920.78', '0.400']","['3925.46', '9.500']"
91,722823590005,1630855043709,1630855043699,"['3920.75', '0.520']","['3925.48', '1.400']"
92,722823590005,1630855043709,1630855043699,"['3920.72', '10.105']","['3925.50', '27.555']"
93,722823590005,1630855043709,1630855043699,"['3920.71', '0.037']","['3925.51', '10.000']"
94,722823590005,1630855043709,1630855043699,"['3920.70', '0.495']","['3925.54', '0.206']"
95,722823590005,1630855043709,1630855043699,"['3920.68', '1.543']","['3925.57', '0.076']"
96,722823590005,1630855043709,1630855043699,"['3920.67', '8.241']","['3925.58', '8.977']"
97,722823590005,1630855043709,1630855043699,"['3920.53', '0.005']","['3925.60', '7.535']"
98,722823590005,1630855043709,1630855043699,"['3920.52', '10.000']","['3925.61', '11.730']"
99,722823590005,1630855043709,1630855043699,"['3920.51', '0.002']","['3925.62', '0.466']"
100,722823590005,1630855043709,1630855043699,"['3920.50', '0.200']","['3925.63', '0.260']"
101,722823590005,1630855043709,1630855043699,"['3920.49', '0.642']","['3925.64', '3.502']"
102,722823590005,1630855043709,1630855043699,"['3920.44', '2.054']","['3925.67', '23.435']"
103,722823590005,1630855043709,1630855043699,"['3920.41', '10.096']","['3925.68', '0.002']"
104,722823590005,1630855043709,1630855043699,"['3920.39', '0.100']","['3925.70', '0.082']"
105,722823590005,1630855043709,1630855043699,"['3920.37', '0.044']","['3925.71', '0.078']"
106,722823590005,1630855043709,1630855043699,"['3920.35', '0.255']","['3925.72', '2.553']"
107,722823590005,1630855043709,1630855043699,"['3920.33', '1.275']","['3925.73', '0.525']"
108,722823590005,1630855043709,1630855043699,"['3920.29', '1.786']","['3925.74', '19.717']"
