,open_time,open,high,low,close,volume,close_time,quote_asset_volume,no_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
0,1629492300000,3266.14,3272.34,3258.85,3259.41,11194.546,1629493199999,36554658.30930,18105,4376.886,14294002.80313
1,1629493200000,3259.42,3268.79,3259.29,3263.69,5630.784,1629494099999,18377089.37307,14397,2955.357,9645462.92335
2,1629494100000,3263.69,3272.67,3262.07,3271.90,7540.543,1629494999999,24648310.25985,14405,3795.014,12405521.45659
3,1629495000000,3271.91,3276.55,3268.80,3276.08,6160.617,1629495899999,20157261.46485,14564,3154.631,10322566.23446
4,1629495900000,3276.08,3298.45,3275.00,3293.24,27045.702,1629496799999,88882983.88985,32614,15155.850,49816583.49264
5,1629496800000,3293.42,3295.00,3270.52,3284.04,25296.194,1629497699999,82995322.02387,35035,11516.327,37777524.41819
6,1629497700000,3284.04,3284.12,3261.81,3269.98,18537.078,1629498599999,60607988.48953,27427,8567.810,28009782.43881
7,1629498600000,3269.80,3272.54,3252.50,3253.33,15096.482,1629499499999,49235787.30548,23110,5609.793,18298902.52214
8,1629499500000,3253.33,3265.43,3248.22,3262.57,17101.411,1629500399999,55719628.49527,25405,8878.691,28935281.80397
9,1629500400000,3262.57,3270.36,3257.60,3269.76,11868.475,1629501299999,38751398.07681,20048,5906.965,19289016.82295
10,1629501300000,3269.76,3282.28,3268.25,3273.54,15187.661,1629502199999,49775533.36307,21801,6727.600,22048214.23093
11,1629502200000,3273.59,3283.83,3268.54,3281.61,10055.507,1629503099999,32960279.12241,17954,5080.857,16654903.37658
12,1629503100000,3281.60,3289.19,3263.72,3286.62,20719.329,1629503999999,67923349.87870,26726,10439.508,34225251.97553
13,1629504000000,3286.65,3288.20,3257.00,3263.05,30079.723,1629504899999,98412292.41797,37859,15056.061,49250706.50014
14,1629504900000,3263.05,3270.50,3243.25,3244.49,20072.258,1629505799999,65338863.27750,32191,8731.801,28433876.97832
15,1629505800000,3244.50,3256.00,3235.70,3251.08,24849.702,1629506699999,80676583.36783,34609,12579.690,40855907.72678
16,1629506700000,3251.08,3260.00,3242.95,3243.37,12659.216,1629507599999,41164964.26178,21706,6338.298,20614917.90501
17,1629507600000,3243.37,3251.70,3237.10,3249.23,14575.681,1629508499999,47294378.19235,24103,7288.900,23654429.31688
18,1629508500000,3249.27,3258.30,3242.33,3243.33,11363.929,1629509399999,36962352.63152,20198,5576.298,18141651.89174
19,1629509400000,3243.34,3257.99,3243.34,3254.49,9786.971,1629510299999,31826690.07350,16186,4958.616,16125650.90015
20,1629510300000,3254.50,3272.22,3253.34,3266.63,14939.724,1629511199999,48775956.83664,21869,8128.653,26535241.71745
21,1629511200000,3266.62,3272.17,3260.03,3268.49,10775.453,1629512099999,35203469.25460,18568,5459.145,17835744.10234
22,1629512100000,3268.50,3284.81,3268.41,3281.13,19402.657,1629512999999,63586146.48268,27756,10955.975,35907600.92719
